sample_idx,shapley_value,label,is_noisy,is_outlier,is_redundant,is_high_value
45908,8.099999999999987,1,False,False,False,True
21697,7.799999999999988,1,False,False,False,True
53684,6.299999999999994,0,False,False,False,True
7551,5.799999999999995,0,False,False,False,True
20406,5.1999999999999975,1,False,False,False,True
71656,4.799999999999999,0,False,False,False,True
51566,4.200000000000001,0,False,False,False,True
13373,3.800000000000002,0,False,False,False,True
802,3.800000000000002,0,False,False,False,True
19251,3.7000000000000015,0,False,False,False,True
5347,3.600000000000002,1,False,False,False,True
47386,3.600000000000002,1,False,False,False,True
23200,3.5000000000000018,0,False,False,False,True
29262,3.0000000000000013,0,False,False,False,True
49589,2.9000000000000012,0,False,False,False,True
14528,2.800000000000001,0,False,False,False,True
56757,2.800000000000001,0,False,False,False,True
5790,2.800000000000001,1,False,False,False,True
50882,2.700000000000001,0,False,False,False,True
1613,2.700000000000001,0,False,False,False,True
37642,2.700000000000001,1,False,False,False,True
71718,2.600000000000001,0,False,False,False,True
58095,2.600000000000001,0,False,False,False,True
67603,2.600000000000001,1,False,False,False,True
48765,2.600000000000001,0,False,False,False,True
39782,2.500000000000001,0,False,False,False,True
6517,2.500000000000001,1,False,False,False,True
55921,2.500000000000001,0,False,False,False,True
55809,2.500000000000001,1,False,False,False,True
26567,2.400000000000001,0,False,False,False,True
12977,2.3000000000000007,1,False,False,False,True
29165,2.3000000000000007,0,False,False,False,True
61407,2.3000000000000007,0,False,False,False,True
68284,2.3000000000000007,0,False,False,False,True
1637,2.2000000000000006,0,False,False,False,True
49157,2.2000000000000006,0,False,False,False,True
22545,2.2000000000000006,1,False,False,False,True
24836,2.2000000000000006,0,False,False,False,True
13507,2.2000000000000006,0,False,False,False,True
57133,2.2000000000000006,0,False,False,False,True
7881,2.2000000000000006,0,False,False,False,True
50957,2.2000000000000006,0,False,False,False,True
46029,2.2000000000000006,0,False,False,False,True
64162,2.2000000000000006,0,False,False,False,True
42162,2.2000000000000006,1,False,False,False,True
53183,2.2000000000000006,0,False,False,False,True
38257,2.1000000000000005,1,False,False,False,True
58157,2.1000000000000005,1,False,False,False,True
46446,2.1000000000000005,0,False,False,False,True
13884,2.1000000000000005,0,False,False,False,True
45755,2.1000000000000005,0,False,False,False,True
4861,2.1000000000000005,0,False,False,False,True
67112,2.1000000000000005,0,False,False,False,True
14459,2.1000000000000005,0,False,False,False,True
23238,2.1000000000000005,1,False,False,False,True
52637,2.0000000000000004,0,False,False,False,True
71481,2.0000000000000004,0,False,False,False,True
16051,2.0000000000000004,1,False,False,False,True
44683,2.0000000000000004,0,False,False,False,True
51820,2.0000000000000004,1,False,False,False,True
37116,2.0000000000000004,1,False,False,False,True
3630,2.0000000000000004,1,False,False,False,True
59933,2.0000000000000004,0,False,False,False,True
59611,2.0000000000000004,0,False,False,False,True
33590,2.0000000000000004,0,False,False,False,True
55660,2.0000000000000004,1,False,False,False,True
45926,1.9000000000000006,0,False,False,False,True
14697,1.9000000000000006,0,False,False,False,True
68589,1.9000000000000006,0,False,False,False,True
5229,1.9000000000000006,1,False,False,False,True
5366,1.9000000000000006,1,False,False,False,True
